sigma,scaled_coordinate,observed,conditioned_profile,unconditioned_profile,affine_profile
0.001,-0.640705922889026,8.147151344439205e-11,5.297686694798976e-12,5.297687196325161e-12,0.00100441866146542
0.001,-0.6376177611115171,1.1125084181356321e-10,7.61226759365422e-12,7.612268399784698e-12,0.0010632935707452335
0.001,-0.6345295993340082,1.5144950526704706e-10,1.0896363570321246e-11,1.0896364860100922e-11,0.0011253097380749006
0.001,-0.6314414375564993,2.0554508604483996e-10,1.5538180087180557e-11,1.5538182141354736e-11,0.0011906152494859375
0.001,-0.6283532757789939,2.7811772255018443e-10,2.2073996426713922e-11,2.2073999683457767e-11,0.001259364012228935
0.001,-0.6252651140014851,3.75180434735678e-10,3.12417409272184e-11,3.1241746067270715e-11,0.001331715918301065
0.001,-0.6221769522239762,5.046023464889825e-10,4.4052856972451984e-11,4.405286504855859e-11,0.0014078370089684123
0.001,-0.6190887904464673,6.766491120510115e-10,6.188831240032953e-11,6.188832503314145e-11,0.0014878996400627747
0.001,-0.6160006286689584,9.046706982208317e-10,8.66263445592814e-11,8.66263642324528e-11,0.0015720826478156098
0.001,-0.6129124668914531,1.205973786642716e-09,1.2081174710541988e-10,1.2081177760809372e-10,0.0016605715149786966
0.001,-0.6098243051139441,1.6029246814325069e-09,1.6787930922015983e-10,1.6787935630742044e-10,0.0017535585369663218
0.001,-0.6067361433364352,2.1243390149386075e-09,2.3244755458796032e-10,2.3244762696214164e-10,0.001851242987736798
0.001,-0.6036479815589264,2.8072270584255045e-09,3.207033668713113e-10,3.2070347763344907e-10,0.00195383128511919
0.001,-0.6005598197814175,3.698978430578421e-09,4.409036354243443e-10,4.4090380421137716e-10,0.0020615371552721528
0.001,-0.5974716580039121,4.860087870587422e-09,6.040269541282068e-10,6.040272102458688e-10,0.002174581795947983
0.001,-0.5943834962264032,6.367544973756475e-09,8.246169476495341e-10,8.246173346444424e-10,0.002293194038219599
0.001,-0.5912953344488944,8.319035903015363e-09,1.1218693253132144e-09,1.1218699076158752e-09,0.0024176105063092846
0.001,-0.5882071726713854,1.0838134677317228e-08,1.5210276742969616e-09,1.521028546831414e-09,0.0025480757751469604
0.001,-0.5851190108938765,1.4080696348321414e-08,2.0551687682568866e-09,2.055170070281285e-09,0.002684842525264806
0.001,-0.5820308491163712,1.8242704925562455e-08,2.767477325636743e-09,2.767479260591379e-09,0.002828171694622018
0.001,-0.5789426873388623,2.3569876078042256e-08,3.7141333256121613e-09,3.7141361894599734e-09,0.002978332626937427
0.001,-0.5758545255613534,3.036936927061417e-08,4.9679628888844495e-09,4.9679671104047026e-09,0.0031356032160888138
0.001,-0.5727663637838445,3.902402699225141e-08,6.623037160438104e-09,6.623043358271267e-09,0.0033002700461274223
0.001,-0.5696782020063357,5.000963106010063e-08,8.800443497714753e-09,8.800452560781388e-09,0.003472628526435454
0.001,-0.5665900402288303,6.391574864696302e-08,1.1655500582041368e-08,1.1655513782436554e-08,0.0036529830215416914
0.001,-0.5635018784513214,8.14708347264623e-08,1.538674495372131e-08,1.5386764104537996e-08,0.0038416469750961126
0.001,-0.5604137166738125,1.035723641281816e-07,2.0247082151509603e-08,2.0247109826556466e-08,0.004038943027485273
0.001,-0.5573255548963036,1.3132288642154567e-07,2.6557572452693342e-08,2.655761229112017e-08,0.004245203126563417
0.001,-0.5542373931187947,1.660730314609655e-07,3.4724410599654664e-08,3.472446772656696e-08,0.004460768630953108
0.001,-0.5511492313412893,2.0947264364668256e-07,4.52597623950229e-08,4.525984399988569e-08,0.00468599040535981
0.001,-0.5480610695637804,2.635313897364485e-07,5.880724026078058e-08,5.8807356389586557e-08,0.0049212289073330175
0.001,-0.5449729077862716,3.306903692240254e-07,7.617293645584406e-08,7.617310109168597e-08,0.00516685426488857
0.001,-0.5418847460087627,4.139064585885096e-07,9.83630883348596e-08,9.83633208660156e-08,0.005423246344404899
0.001,-0.5387965842312538,5.167513416209853e-07,1.2662962650877853e-07,1.2662995371535795e-07,0.005690794808186035
0.001,-0.5357084224537484,6.435274178365849e-07,1.6252505569864653e-07,1.625255144303502e-07,0.005969899161079849
0.001,-0.5326202606762396,7.994030396713016e-07,2.0796834103096656e-07,2.0796898180222608e-07,0.006260968785531011
0.001,-0.5295320988987307,9.90569806388924e-07,2.6532372093391755e-07,2.6532461273187654e-07,0.006564422964434354
0.001,-0.5264439371212218,1.2244249376535656e-06,3.3749464288151454e-07,3.3749587957108786e-07,0.006880690891157842
0.001,-0.5233557753437129,1.5097820613204232e-06,4.2803532092984247e-07,4.2803702975348333e-07,0.007210211666088431
0.001,-0.5202676135662075,1.8571140764675666e-06,5.412827448739074e-07,5.412850976879362e-07,0.0075534342790544145
0.001,-0.5171794517886986,2.2788320917030574e-06,6.825123300460966e-07,6.825155581180966e-07,0.007910817576976342
