u,rank_by_modulus,real,imag,modulus,condition_number
1.475,7,-0.13170219669063982,0.048282147620501537,0.14027342724831343,70.8330098558151
1.475,8,-0.13170219669063982,-0.048282147620501537,0.14027342724831343,70.8330098558151
1.475,9,0.0639417227773399,0.08044985547354323,0.1027653791772705,75.73794721941529
1.475,10,0.0639417227773399,-0.08044985547354323,0.1027653791772705,75.73794721941529
1.475,11,-0.00365253236155488,0.03456538751672632,0.03475783374771312,550.9835002687458
1.475,12,-0.00365253236155488,-0.03456538751672632,0.03475783374771312,550.9835002687458
1.48,1,-0.9920586317474466,0.0,0.9920586317474466,1.1331956261225622
1.48,2,-0.001232638948734599,0.6882232528301595,0.6882243566853062,1.9164999723645724
1.48,3,-0.001232638948734599,-0.6882232528301595,0.6882243566853062,1.9164999723645724
1.48,4,0.5493404772173326,0.0,0.5493404772173326,1.9621989497592307
1.48,5,-0.2017810510145423,0.0,0.2017810510145423,20.880135242870345
1.48,6,0.1763561526054538,0.0,0.1763561526054538,30.43745304923152
1.48,7,-0.1205905351981395,0.07427327383535275,0.14162837422492364,53.17411049261854
1.48,8,-0.1205905351981395,-0.07427327383535275,0.14162837422492364,53.17411049261854
1.48,9,0.05623091592558528,0.08209248721790005,0.0995042328921304,89.26382983317784
1.48,10,0.05623091592558528,-0.08209248721790005,0.0995042328921304,89.26382983317784
1.48,11,-0.0036355753876039657,0.03449580631401788,0.03468685718904478,563.5316918502439
1.48,12,-0.0036355753876039657,-0.03449580631401788,0.03468685718904478,563.5316918502439
1.485,1,-0.99077300530463,0.0,0.99077300530463,1.1285858184440716
1.485,2,-0.0017366095509684099,0.6819252674730129,0.6819274787181351,1.9984226518363049
1.485,3,-0.0017366095509684099,-0.6819252674730129,0.6819274787181351,1.9984226518363049
1.485,4,0.5388590902020328,0.0,0.5388590902020328,2.0135515584230563
1.485,5,-0.197718079829316,0.0,0.197718079829316,20.932144765411234
1.485,6,0.17241295884253935,0.0,0.17241295884253935,32.8435562347641
1.485,7,-0.10852453101187037,0.09453505624556623,0.1439251565595771,48.547243332088804
1.485,8,-0.10852453101187037,-0.09453505624556623,0.1439251565595771,48.547243332088804
1.485,9,0.048260029794351914,0.08181880751833781,0.09499130349392278,109.77384929683899
1.485,10,0.048260029794351914,-0.08181880751833781,0.09499130349392278,109.77384929683899
1.485,11,-0.0035244789760106245,0.03422647800178007,0.03440746646381677,584.0835920635125
